ID,PRCCODE,Description,EXPQNT,EXPVAL,IMPQNT,IMPVAL,PRODQNT,PRODVAL,QNTUNIT,Region,TimePeriod,Dataset
1,07101000,Iron ores and concentrates (excluding roasted iron pyrites),"2,205,400","673,700","9,128,730,900","699,218,450",0,0,kg,UnitedKingdom,YearOf2017,PRODCOM 2017
2,07291100,Copper ores and concentrates,"331,300","1,626,820","36,700","181,670",0,0,kg,UnitedKingdom,YearOf2017,PRODCOM 2017
3,07291200,Nickel ores and concentrates,"4,900","84,000","28,400","260,580",0,0,kg,UnitedKingdom,YearOf2017,PRODCOM 2017
4,07291300,Aluminium ores and concentrates,"4,494,600","2,076,280","14,029,400","6,217,100",0,0,kg,UnitedKingdom,YearOf2017,PRODCOM 2017
5,07291400,Precious metal ores and concentrates,"88,700","8,291,180","164,200","349,358,550",0,0,kg,UnitedKingdom,YearOf2017,PRODCOM 2017
6,07291500,"Lead, zinc and tin ores and concentrates","18,005,300","14,782,090","1,260,700","3,518,130",:,:,kg,UnitedKingdom,YearOf2017,PRODCOM 2017
7,07291900,Other non-ferrous metal ores and concentrates,"2,027,000","7,969,480","288,907,400","308,762,730",:,:,kg,UnitedKingdom,YearOf2017,PRODCOM 2017
8,08111133,"Marble and travertine, crude or roughly trimmed","95,000","142,480","9,012,600","2,196,140",0,0,kg,UnitedKingdom,YearOf2017,PRODCOM 2017
9,08111136,Marble and travertine merely cut into rectangular or square blocks or slabs,"701,400","267,910","6,184,600","6,083,840",0,0,kg,UnitedKingdom,YearOf2017,PRODCOM 2017
10,08111150,"Ecaussine and other calcareous monumental or building stone of an apparent specific gravity >= 2,5","37,200","118,010","14,969,600","5,115,550",0,0,kg,UnitedKingdom,YearOf2017,PRODCOM 2017
11,08111233,"Granite, crude or roughly trimmed","72,500","11,270","2,306,513,600","34,935,960",:,:,kg,UnitedKingdom,YearOf2017,PRODCOM 2017
12,08111236,Granite merely cut into rectangular (including square) blocks or slabs,"13,843,400","2,472,050","57,084,600","19,553,070",:,:,kg,UnitedKingdom,YearOf2017,PRODCOM 2017
13,08111250,Sandstone,"206,500","83,070","398,534,700","101,542,570","615,830,000","14,534,545",kg,UnitedKingdom,YearOf2017,PRODCOM 2017
14,08111290,"Porphyry, basalt, quartzites and other monumental or building stone, crude, roughly trimmed or merely cut (excluding calcareous monumental or building stone of a gravity >= 2,5, granite and sandstone)","222,500","292,800","110,336,400","16,122,010","2,484,932,000","49,307,037",kg,UnitedKingdom,YearOf2017,PRODCOM 2017
15,08112030,Gypsum and anhydrite,"9,201,600","2,335,220","1,523,565,100","23,515,660",0,0,kg,UnitedKingdom,YearOf2017,PRODCOM 2017
