ID,PRCCODE,Description,EXPQNT,EXPVAL,IMPQNT,IMPVAL,PRODQNT,PRODVAL,QNTUNIT
1,07101000,Iron ores and concentrates (excluding roasted iron pyrites),"2,922,200","926,950","8,898,295,300","662,935,000",0,0,kg
2,07291100,Copper ores and concentrates,"2,442,100","11,753,520","392,400","1,078,390",0,0,kg
3,07291200,Nickel ores and concentrates,0,"22,580",0,"2,750",0,0,kg
4,07291300,Aluminium ores and concentrates,"5,183,700","2,815,740","33,815,500","11,809,150",0,0,kg
5,07291400,Precious metal ores and concentrates,"3,782,300","29,549,370","169,200","304,384,390",0,0,kg
6,07291500,"Lead, zinc and tin ores and concentrates","25,030,100","17,432,690","1,331,000","3,322,730",:,:,kg
7,07291900,Other non-ferrous metal ores and concentrates,"2,173,400","6,684,430","334,113,900","379,304,020",:,:,kg
8,08111133,"Marble and travertine, crude or roughly trimmed","107,200","84,980","510,500","372,840",0,0,kg
9,08111136,Marble and travertine merely cut into rectangular or square blocks or slabs,"886,000","333,470","7,258,500","7,010,500",0,0,kg
10,08111150,"Ecaussine and other calcareous monumental or building stone of an apparent specific gravity >= 2,5","226,100","526,290","25,582,200","10,601,930",:,:,kg
11,08111233,"Granite, crude or roughly trimmed","711,600","95,620","2,882,984,400","41,084,480",:,:,kg
12,08111236,Granite merely cut into rectangular (including square) blocks or slabs,"11,993,000","2,573,010","70,490,800","23,456,720",:,"1,427,586",kg
13,08111250,Sandstone,"669,200","325,180","421,809,300","99,425,230","605,473,000","16,268,608",kg
14,08111290,"Porphyry, basalt, quartzites and other monumental or building stone, crude, roughly trimmed or merely cut (excluding calcareous monumental or building stone of a gravity >= 2,5, granite and sandstone)","665,600","928,170","247,118,400","13,584,160","2,577,893,000","42,802,726",kg
15,08112030,Gypsum and anhydrite,"13,666,000","2,886,120","1,506,932,700","23,352,820",0,0,kg
16,08112050,"Limestone flux, limestone and other calcareous stone used for the manufacture of lime or cement (excluding crushed limestone aggregate and calcareous dimension stone)","193,333,200","3,354,820","315,851,100","22,233,970","3,370,307,000","30,389,619",kg
17,08113010,Chalk,"25,787,200","3,228,520","9,482,800","3,553,860","891,645,000",:,kg
18,08113030,"Dolomite, crude, roughly trimmed or merely cut into rectangular or square blocks or slabs (excluding calcined or sintered dolomite, agglomerated dolomite and broken or crushed dolomite for concrete aggregates, road metalling or railway or other ballast)","298,600","123,990","243,133,800","10,643,570",:,:,kg
19,08114000,"Slate, crude, roughly trimmed or merely cut into rectangular or square blocks or slabs","101,972,000","2,777,940","49,416,100","16,811,540","41,719,000","46,254,705",kg
20,08121150,Silica sands (quartz sands or industrial sands),"83,315,100","4,468,290","139,980,200","11,913,750","4,791,313,000","99,659,776",kg
21,08121190,"Construction sands such as clayey sands; kaolinic sands; feldspathic sands (excluding silica sands, metal bearing sands)","146,224,400","9,645,850","372,062,300","14,802,510","27,047,315,000","401,697,731",kg
22,08121210,"Gravel and pebbles of a kind used for concrete aggregates, for road metalling or for railway or other ballast; shingle and flint","2,695,688,800","23,129,290","116,905,100","7,763,250","29,612,888,000","457,071,809",kg
23,08121230,"Crushed stone of a kind used for concrete aggregates, for road metalling or for railway or other ballast (excluding gravel, pebbles, shingle and flint)","4,368,608,800","37,703,780","62,602,700","2,662,850","68,391,115,000","913,326,401",kg
24,08121250,"Granules, chippings and powder of marble","657,100","116,000","132,420,800","10,419,080",0,0,kg
25,08121290,"Granules, chippings and powder of travertine, ecaussine, granite, porphyry, basalt, sandstone and other monumental stone","49,817,900","5,434,950","75,053,100","6,324,810","1,331,436,000","26,184,852",kg
26,08121300,"Mixtures of slag and similar industrial waste products, whether or not incorporating pebbles, gravel, shingle and flint for construction use","74,600","23,840","707,700","102,710",:,:,kg
27,08122140,"Kaolin, not calcined",:,:,:,:,0,:,kg
28,08122160,Kaolinitic clays (ball and plastic clays),"656,939,800","54,336,930","4,587,600","2,059,640",:,:,kg
29,08122210,Bentonite,"30,500,800","24,029,180","142,664,700","16,706,810",0,0,kg
30,08122230,Fireclay,"1,414,500","1,093,080","4,970,400","1,882,940",:,:,kg
31,08122250,"Common clays and shales for construction use (excluding bentonite, fireclay, expanded clays, kaolin and kaolinic clays); andalusite, kyanite and sillimanite; mullite; chamotte or dinas earths","88,553,500","15,290,910","167,475,400","35,984,070",:,:,kg
32,08911100,Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk,"280,600","1,355,150","168,500","140,260",0,0,kg
33,08911200,Unroasted iron pyrites; crude or unrefined sulphur (including recovered sulphur),"21,770,400","2,504,030","2,254,300","840,430",:,:,kg
34,08911900,Other chemical and fertiliser minerals,"32,216,100","32,715,920","116,930,900","38,271,520","606,006,692","43,826,791",kg
35,08931000,"Salt (including denatured salt but excluding salt suitable for human consumption) and pure sodium chloride, whether or not in aqueous solution or containing added anti-caking or free-flowing agents","233,289,600","32,876,010","927,693,400","65,329,580","3,812,812,000","152,321,100",kg
36,08991000,Natural bitumen and natural asphalt; asphaltites and asphaltic rocks,"47,062,900","2,414,850","10,505,800","1,093,510","1,708,940,000","113,104,859",kg
37,08992100,"Precious and semi-precious stones (excluding industrial diamonds), unworked or simply sawn or roughly shaped",:,"1,118,264,990",:,"1,303,256,630",0,0,c/k
38,08992200,"Industrial diamonds, unworked or simply sawn, cleaved or bruted; pumice stone; emery; natural corundum, natural garnet and other natural abrasives","1,914,700","6,123,710","11,255,000","9,042,770",0,0,kg
39,08992900,Other minerals,"26,563,100","30,186,460","371,494,600","90,942,700","127,661,000","49,571,046",kg
40,100000Z1,"Prepared and preserved meat, meat offal or blood, including prepared meat and offal dishes","85,562,900","264,914,120","741,694,000","2,644,131,680","1,070,000,000","4,706,855,583",kg
41,100000Z2,"Fish, crustaceans, molluscs, other aquatic invertebrates and seaweed, otherwise prepared or preserved, including prepared meals and dishes",:,:,:,:,:,:,:
42,100000Z3,"Vegetables (except potatoes), preserved otherwise than by vinegar or acetic acid, including prepared vegetable dishes","72,783,000","113,899,970","677,166,400","641,651,120","1,253,664,484","1,379,384,882",kg
